image_id,date,wse_m,boundary_area_m2,boundary_perimeter_m,perimeter_ratio,is_outlier,dem_extent_m2,pct_diff,expansion_volume_m3,expansion_pixel_count,excluded_from_volume_calc
20191031,2019-10-31,995.9691,40181130.600622416,63566.166097729474,0.973392847102621,False,39027461.95336884,-2.871170198570028,0.0,0.0,False
20191130,2019-11-30,996.30743,40513386.83681382,64103.42855075688,0.9816199820849267,False,39451187.661507025,-2.6218473898153456,0.0,0.0,False
20191231,2019-12-31,996.3952,40559057.85809031,63684.66514044484,0.9752074306719731,False,39553990.312215656,-2.4780347447695323,0.0,0.0,False
20200131,2020-01-31,996.3269,40556372.64777933,63624.61333625535,0.9742878534779704,False,39476217.872114345,-2.663341677634302,0.0,0.0,False
20200229,2020-02-29,996.3853,40613689.873480745,63924.07950881134,0.9788735985088574,False,39537899.462539524,-2.6488369175332496,0.0,0.0,False
20200331,2020-03-31,996.4562,40636974.344307534,63264.28990315037,0.9687701972473176,False,39644277.85762063,-2.442840547812501,0.0,0.0,False
20200430,2020-04-30,996.3981,40556374.47579616,63804.76342274322,0.9770465035013588,False,39557566.05658813,-2.4627655507129185,0.0,0.0,False
20200531,2020-05-31,996.7081,40875201.20609371,64942.98541022565,0.9944761710280574,False,39948216.129280925,-2.2678422355376515,0.0,0.0,False
20200630,2020-06-30,996.6262,40817892.92649285,64821.6852275169,0.9926186934193024,False,39852564.967317246,-2.364962740516808,0.0,0.0,False
20200731,2020-07-31,996.8215,41072226.93122514,64461.770869695305,0.987107301385143,False,40062639.9492001,-2.458077044898445,0.0,0.0,False
20200831,2020-08-31,1235.2847,50425728.80670884,176760.78088948195,2.7067493657170734,True,174354189.53793147,245.7643422592133,,,True
20200930,2020-09-30,997.52,41692865.44302829,65120.74805813974,0.997198262048862,False,40747394.99652889,-2.2677032064187315,0.0,0.0,False
20201031,2020-10-31,997.07336,41338212.57739652,65240.84761882717,0.9990373544543025,False,40376411.5178847,-2.3266633933701453,0.0,0.0,False
20201130,2020-11-30,997.23596,41502104.85369536,65001.85243182905,0.9953776055690503,False,40502456.507014416,-2.4086690306550502,0.0,0.0,False
20201231,2020-12-31,997.2052,41559424.3756471,65779.72347407996,1.0072891955701082,False,40472062.67984839,-2.6164022051178355,0.0,0.0,False
20210131,2021-01-31,997.03217,41416131.58767506,65481.06318299048,1.0027157910546758,False,40337972.26588061,-2.6032352140664377,0.0,0.0,False
20210228,2021-02-28,997.2913,41603306.585886,65241.65083087247,0.999049654092736,False,40548047.24776346,-2.536479488581174,0.0,0.0,False
20210331,2021-03-31,997.5357,41807502.977738015,67273.4844223865,1.0301632543913897,False,40755440.42136696,-2.5164443734687194,0.0,0.0,False
20210430,2021-04-30,997.1044,41436726.26071028,65541.12402785747,1.0036355066891625,False,40397865.98411955,-2.5071002715186985,0.0,0.0,False
20210531,2021-05-31,997.2221,41561217.99545788,65658.82333230603,1.0054378438142777,False,40489047.465617634,-2.5797379902519233,0.0,0.0,False
20210630,2021-06-30,997.3091,41585395.466913566,65660.02731175866,1.005456280430157,False,40563244.16134647,-2.457957400886914,0.0,0.0,False
20210731,2021-07-31,997.23596,41545989.822513856,65300.10706391844,0.9999447982017582,False,40502456.507014416,-2.5117546120755727,0.0,0.0,False
20210831,2021-08-31,997.2337,41516436.174828224,65539.91675991635,1.0036170197164447,False,40499774.69873506,-2.4488168295851374,0.0,0.0,False
20210930,2021-09-30,997.24475,41546886.75983107,65120.75339286324,0.9971983437398309,False,40508714.059666246,-2.4987978188742774,0.0,0.0,False
20211031,2021-10-31,997.4221,41651668.32080373,66199.30277947303,1.0137142408376485,False,40646380.2180065,-2.4135602325804606,0.0,0.0,False
20211130,2021-11-30,997.9974,42288403.99582714,73262.99484218248,1.1218810180726615,False,41129105.7082905,-2.7414094124976462,0.0,0.0,False
20211231,2021-12-31,1427.7495,82022585.06821716,390450.3973415654,5.978992398823176,True,287791104.01030064,250.86812220188912,,,True
20220131,2022-01-31,997.01556,41319407.58960446,65541.11222799728,1.0036353259971338,False,40325457.16057695,-2.405529234348414,0.0,0.0,False
20220228,2022-02-28,997.12115,41519113.12690488,66077.90627230926,1.0118552882062317,False,40413062.89770256,-2.6639543716206906,0.0,0.0,False
20220331,2022-03-31,997.2195,41556706.71377592,68531.91883907077,1.049433742686451,False,40483683.849058926,-2.5820690559227786,0.0,0.0,False
20220430,2022-04-30,997.02405,41320301.73794521,65600.36631555128,1.0045426877042718,False,40332608.64932189,-2.3903336787986182,0.0,0.0,False
